page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
1974368,en.wikipedia.org/wiki/Montgomery_Gentry,Montgomery_Gentry,biography,"arts, culture and entertainment",29849,6,3643,2005,American band
6803715,en.wikipedia.org/wiki/Nicole_Scherzinger,Nicole_Scherzinger,biography,"arts, culture and entertainment",246417,22,4581,2005,"American singer, songwriter, and dancer"
2847,en.wikipedia.org/wiki/Aung_San_Suu_Kyi,Aung_San_Suu_Kyi,biography,"arts, culture and entertainment",99306,17,9535,2001,Current State Counsellor of Myanmar and Leader of the National League for Democracy
64025,en.wikipedia.org/wiki/Gerald's_Game,Gerald's_Game,other,"arts, culture and entertainment",43520,2,1133,2001,1992 suspense novel by Stephen King
49400008,en.wikipedia.org/wiki/Destiny_2,Destiny_2,other,internet and game,65865,26,11011,2016,2017 first-person shooter video game
64955,en.wikipedia.org/wiki/Will_&_Grace,Will_&_Grace,other,"arts, culture and entertainment",113057,16,3964,2003,Wikimedia disambiguation page
42673920,en.wikipedia.org/wiki/Alejandro_Villanueva_(American_football),Alejandro_Villanueva_(American_football),biography,sport,34716,6,2306,2014,Spanish-American football player
41036286,en.wikipedia.org/wiki/Valter_Skarsgård,Valter_Skarsgård,biography,"arts, culture and entertainment",63683,2,103,2013,Swedish actor
5373842,en.wikipedia.org/wiki/Kangana_Ranaut,Kangana_Ranaut,biography,"arts, culture and entertainment",151940,12,5051,2006,Indian actress
550557,en.wikipedia.org/wiki/Walter_Becker,Walter_Becker,biography,"arts, culture and entertainment",29770,6,1265,2004,"American musician, songwriter, and record producer"
51064280,en.wikipedia.org/wiki/Sophia_Lillis,Sophia_Lillis,biography,"arts, culture and entertainment",82135,13,408,2016,American actress
52963808,en.wikipedia.org/wiki/69th_Primetime_Emmy_Awards,69th_Primetime_Emmy_Awards,other,"arts, culture and entertainment",31290,16,634,2017,"Emmy Awards honoring the best in U.S. prime time television programming from June 1, 2016 until May 31, 2017"
51884449,en.wikipedia.org/wiki/2017_US_Open_(tennis),2017_US_Open_(tennis),biography,sport,28035,28,820,2016,2017 edition of the United States Open Tennis Championships
49079847,en.wikipedia.org/wiki/The_Good_Place,The_Good_Place,other,"arts, culture and entertainment",278187,40,2968,2016,2016 American fantasy comedy television series
54694644,en.wikipedia.org/wiki/Hell_in_a_Cell_(2017),Hell_in_a_Cell_(2017),other,"arts, culture and entertainment",45990,27,3278,2017,2017 WWE pay-per-view and WWE Network event
2333491,en.wikipedia.org/wiki/Nibiru_cataclysm,Nibiru_cataclysm,other,STEM,80696,16,4708,2005,theory
2686441,en.wikipedia.org/wiki/Holly_Madison,Holly_Madison,biography,"arts, culture and entertainment",59446,3,1105,2005,American model and television personality
51461407,en.wikipedia.org/wiki/Spyder_(film),Spyder_(film),other,"arts, culture and entertainment",73899,39,3713,2016,2017 film by A. R. Murugadoss
55262011,en.wikipedia.org/wiki/Hurricane_Maria,Hurricane_Maria,other,history and geography,46496,53,9954,2017,Category 5 Atlantic hurricane in 2017
3665572,en.wikipedia.org/wiki/List_of_Atlantic_hurricane_records,List_of_Atlantic_hurricane_records,other,STEM,30390,22,1618,2005,Wikipedia media list article
39484831,en.wikipedia.org/wiki/American_Assassin,American_Assassin,other,"arts, culture and entertainment",56940,8,1855,2016,2017 film by Michael Cuesta
6822,en.wikipedia.org/wiki/Catalonia,Catalonia,other,history and geography,156908,37,13998,2001,autonomous community of Spain
